epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,120.065,0.47093,0.96,1,0.07402,0.000548258,0.000548258,0.000548258
2,252.945,0.29217,0.98,1,0.04705,0.000994636,0.000994636,0.000994636
3,350.122,0.29448,0.99,1,0.05793,0.00133099,0.00133099,0.00133099
4,431.72,0.32338,0.965,1,0.10143,0.0011719,0.0011719,0.0011719
5,517.904,0.28487,0.985,1,0.06201,0.00100687,0.00100687,0.00100687
6,608.389,0.25177,0.99,1,0.03702,0.000841835,0.000841835,0.000841835
7,706.526,0.20891,1,1,0.02151,0.000676802,0.000676802,0.000676802
8,797.532,0.14229,0.995,1,0.02886,0.000511769,0.000511769,0.000511769
9,878.852,0.12581,1,1,0.01142,0.000346736,0.000346736,0.000346736
10,977.087,0.12271,0.995,1,0.02064,0.000181703,0.000181703,0.000181703
